,Movie,Gross,Year
0,Avatar,2847397339,2009
1,Avengers: Endgame,2797501328,2019
2,Titanic,2187535296,1997
3,Star Wars: The Force Awakens,2068223624,2015
4,Avengers: Infinity War,2048359754,2018
5,Spider-Man: No Way Home,1910675428,2021
6,Jurassic World,1671537444,2015
7,The Lion King,1656943394,2019
8,The Avengers,1518812988,2012
9,Furious 7,1516045911,2015
10,Frozen II,1450026933,2019
11,Top Gun: Maverick,1443725344,2022
12,Avengers: Age of Ultron,1402809540,2015
13,Black Panther,1347280838,2018
14,Harry Potter and the Deathly Hallows – Part 2,1342025430,2011
15,Star Wars: The Last Jedi,1332539889,2017
16,Jurassic World: Fallen Kingdom,1309484461,2018
17,Frozen,1290000000,2013
18,Beauty and the Beast,1263521126,2017
19,Incredibles 2,1242805359,2018
20,The Fate of the Furious,1238764765,2017
21,Iron Man 3,1214811252,2013
22,Minions,1159398397,2015
23,Captain America: Civil War,1153329473,2016
24,Aquaman,1148485886,2018
25,The Lord of the Rings: The Return of the King,1146030912,2003
26,RK,1131927996,2019
27,RK,1128274794,2019
28,RK,1123794079,2011
29,Skyfall,1108561013,2012
30,Transformers: Age of Extinction,1104054072,2014
31,The Dark Knight Rises,1081142612,2012
32,Joker,1074251311,2019
33,Star Wars: The Rise of Skywalker,1074144248,2019
34,Toy Story 4,1073394593,2019
35,TS3,1066969703,2010
36,Pirates of the Caribbean: Dead Man's Chest,1066179725,2006
37,Rogue One: A Star Wars Story,1057420387,2016
38,Aladdin,1050693953,2019
39,Pirates of the Caribbean: On Stranger Tides,1045713802,2011
40,Despicable Me 3,1034799409,2017
41,Jurassic Park,1034199003,1993
42,Finding Dory,1028570889,2016
43,Star Wars: Episode I – The Phantom Menace,1027044677,1999
44,Alice in Wonderland,1025467110,2010
45,Zootopia,1023784195,2016
46,The Hobbit: An Unexpected Journey,1017003568,2012
47,Harry Potter and the Philosopher's Stone,1006968171,2001
48,The Dark Knight,1005973645,2008
49,Jurassic World Dominion,998136764,2022
